PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201208,17.22,0.00,0.00,27.58,987.39,0.00,0.00,2782.18,0.00,0.00,4349.16,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201209,20.12,0.00,0.00,21.48,1153.68,0.00,0.00,3250.72,0.00,0.00,3387.24,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201210,17.22,0.00,0.00,18.58,987.39,0.00,0.00,2782.18,0.00,0.00,2929.93,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201211,16.25,0.00,0.00,17.61,931.78,0.00,0.00,2625.46,0.00,0.00,2776.97,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201212,17.22,0.00,0.00,18.51,987.39,0.00,0.00,2782.18,0.00,0.00,2918.89,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201301,19.15,0.00,0.00,20.51,1140.38,0.00,0.00,3290.46,0.00,0.00,3518.14,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201302,17.22,0.00,0.00,17.22,1025.45,0.00,0.00,2958.83,0.00,0.00,2958.83,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201303,17.22,0.00,0.00,17.22,1025.45,0.00,0.00,2958.83,0.00,0.00,2958.83,,0048AA,L
LRIPOC,C7MX4810-810H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,H00,LC7MX4810,H00,810H,201304,21.95,0.00,0.00,21.95,1307.12,0.00,0.00,3771.57,0.00,0.00,3771.57,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201108,72.00,99.50,72.00,99.50,3983.76,3983.76,4010.77,10911.34,10911.34,10598.84,14173.74,,0048AA,L
