PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CA Clin,E
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201309,635.30,0.00,0.00,635.30,21244.43,0.00,0.00,80799.92,0.00,0.00,78848.32,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201310,79.40,0.00,0.00,79.40,2655.14,0.00,0.00,10098.40,0.00,0.00,9854.49,0003,0003,L
LRIP10,10A40HJX,AV IPT - AF40 Section 1100 Support,Block 30,C,HJX,L10A40HJX,HJX,,201309,40.00,0.00,0.00,40.00,2320.80,0.00,0.00,6696.43,0.00,0.00,6602.05,0003,0003,L
LRIP10,10A40HJX,AV IPT - AF40 Section 1100 Support,Block 30,C,HJX,L10A40HJX,HJX,,201310,80.00,0.00,0.00,80.00,4641.60,0.00,0.00,13392.87,0.00,0.00,13204.10,0003,0003,L
LRIP10,10A40HJX,AV IPT - AF40 Section 1100 Support,Block 30,C,HJX,L10A40HJX,HJX,,201402,5.00,0.00,0.00,5.00,299.75,0.00,0.00,864.90,0.00,0.00,876.18,0003,0003,L
LRIP10,10A40HJX,AV IPT - AF40 Section 1100 Support,Block 30,C,HJX,L10A40HJX,HJX,,201403,7.50,0.00,0.00,7.50,449.63,0.00,0.00,1297.35,0.00,0.00,1314.27,0003,0003,L
LRIP10,10A40HJX,AV IPT - AF40 Section 1100 Support,Block 30,C,HJX,L10A40HJX,HJX,,201404,2.50,0.00,0.00,2.50,149.88,0.00,0.00,432.45,0.00,0.00,438.09,0003,0003,L
LRIP10,10A40HJX,AV IPT - AF40 Section 1100 Support,Block 30,C,HJX,L10A40HJX,HJX,,201405,2.50,0.00,0.00,2.50,149.88,0.00,0.00,432.45,0.00,0.00,438.09,0003,0003,L
LRIP10,10A40HJX,AV IPT - AF40 Section 1100 Support,Block 30,C,HJX,L10A40HJX,HJX,,201406,2.50,0.00,0.00,2.50,149.88,0.00,0.00,432.45,0.00,0.00,438.09,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201310,12.00,0.00,0.00,12.00,696.24,0.00,0.00,2008.93,0.00,0.00,1980.61,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201311,40.31,0.00,0.00,40.31,2338.65,0.00,0.00,6747.94,0.00,0.00,6652.83,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201312,36.44,0.00,0.00,36.44,2114.38,0.00,0.00,6100.84,0.00,0.00,6014.85,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201401,27.50,0.00,0.00,27.50,1648.63,0.00,0.00,4756.94,0.00,0.00,4819.00,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201402,25.00,0.00,0.00,25.00,1498.75,0.00,0.00,4324.49,0.00,0.00,4380.91,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201403,19.26,0.00,0.00,19.26,1154.51,0.00,0.00,3331.23,0.00,0.00,3374.69,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201404,2.54,0.00,0.00,2.54,152.25,0.00,0.00,439.31,0.00,0.00,445.04,0003,0003,L
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201405,1.93,0.00,0.00,1.93,115.71,0.00,0.00,333.88,0.00,0.00,338.23,0003,0003,L
