PROJECT,WBS ID,DESCRIPTION,ALIAS,E,Type,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201205,84.00,0.00,0.00,145.00,4816.56,0.00,0.00,13571.60,0.00,0.00,22865.44,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201206,82.00,0.00,0.00,145.00,4701.88,0.00,0.00,13248.47,0.00,0.00,22865.44,2,JMPS,L
EHSS,2420J2-HJMV,Mission Validation for Flt. 2 Forward,JMPS,C,CPFF,LEH2420J2,HJX,819H,201207,0.00,0.00,0.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,14665.42,2,JMPS,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201101,0.00,13.50,30.00,0.00,0.00,1633.20,866.97,0.00,4186.43,2296.57,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201102,0.00,1.00,0.00,0.00,0.00,0.00,64.22,0.00,0.00,170.12,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201109,6.00,12.00,6.00,0.00,326.64,326.64,793.08,893.36,893.36,2100.84,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201110,18.00,8.00,12.00,0.00,979.92,653.28,528.72,2680.07,1786.71,1400.56,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201111,0.00,28.00,0.00,0.00,0.00,0.00,1850.52,0.00,0.00,4901.96,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201112,0.00,18.00,0.00,0.00,0.00,0.00,1189.62,0.00,0.00,3151.26,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201201,0.00,17.00,6.00,0.00,0.00,326.64,1123.53,0.00,893.36,3131.92,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201202,0.00,16.80,0.00,0.00,0.00,0.00,1116.14,0.00,0.00,3111.32,0.00,1,BASIC,L
EHSS,242240-HEEN,IFF Trade Study,BASIC,C,FFP,LEH242240,HEX,814H,201203,0.00,1.00,0.00,0.00,0.00,0.00,67.41,0.00,0.00,187.91,0.00,1,BASIC,L
EHSS,242002-811H,Fatigue Damage & Durability Analysis,BASIC,C,CPFF,LEH242002,HBX,811H,201101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,BASIC,L
EHSS,242002-811H,Fatigue Damage & Durability Analysis,BASIC,C,CPFF,LEH242002,HBX,811H,201104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,BASIC,L
EHSS,242002-811H,Fatigue Damage & Durability Analysis,BASIC,C,CPFF,LEH242002,HBX,811H,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,BASIC,L
EHSS,242002-819H,EAFB Performance Model Updates,BASIC,C,CPFF,LEH242002,HJX,819H,201101,110.00,10.50,0.00,0.00,5988.40,0.00,591.78,16378.21,0.00,1567.60,0.00,2,BASIC,L
EHSS,242002-819H,EAFB Performance Model Updates,BASIC,C,CPFF,LEH242002,HJX,819H,201102,0.00,5.00,17.20,0.00,0.00,936.37,281.80,0.00,2400.22,746.48,0.00,2,BASIC,L
EHSS,242002-819H,EAFB Performance Model Updates,BASIC,C,CPFF,LEH242002,HJX,819H,201103,0.00,0.00,-4.40,0.00,0.00,-239.54,0.00,0.00,-614.01,0.00,0.00,2,BASIC,L
EHSS,242002-819H,EAFB Performance Model Updates,BASIC,C,CPFF,LEH242002,HJX,819H,201107,-440.00,0.00,76.80,0.00,-23953.60,4180.99,0.00,-62428.97,10717.27,0.00,0.00,2,BASIC,L
EHSS,242002-815H00C4,EAFB Thermal Analysis,BASIC,C,CPFF,LEH242002,HEX,815H,201101,0.00,6.50,123.50,0.00,0.00,6723.34,288.76,0.00,17234.15,764.91,0.00,2,BASIC,L
EHSS,242250-811H,PCR 20140 Remove Cooling Duct End,BASIC,C,FFP,LEH242250,HBX,811H,201102,0.00,7.00,10.00,0.00,0.00,544.40,326.78,0.00,1395.48,865.63,0.00,1,BASIC,L
EHSS,242042-814H,CR 20148 - O-Ring - AV Eng,BASIC,C,CPFF,LEH242042,HEX,814H,201101,30.00,0.00,60.00,0.00,1633.20,3266.40,0.00,4466.78,8653.22,0.00,0.00,2,BASIC,L
EHSS,242042-3J48,CR 20148 - O-Ring - ME Support,BASIC,C,CPFF,LEH242042,HEX,3J48,201101,6.00,0.52,12.00,0.00,277.74,555.48,36.75,1056.17,2028.86,129.74,0.00,2,BASIC,L
EHSS,242052-818H,CR 20092 - LNA RESISTOR - AV Eng,BASIC,C,CPFF,LEH242052,HEX,818H,201101,0.00,0.00,40.00,0.00,0.00,2177.60,0.00,0.00,5581.91,0.00,0.00,2,BASIC,L
EHSS,242082-814H,CR 20154 - Landing Light Study - AV Support,BASIC,C,CPFF,LEH242082,HEX,814H,201101,10.00,0.00,10.00,0.00,544.40,544.40,0.00,1488.93,1395.48,0.00,0.00,2,BASIC,L
