PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP8P,R8RTPHJX-819H03,AV IPT - MP-RTIP 6 Flight Test Support,RTIP,W,HJX,,HJX,819H,201304,14.46,0.00,0.00,14.46,861.34,0.00,0.00,2485.30,0.00,0.00,2387.34,0006,,L
LRIP8P,R8RTPHJX-819H03,AV IPT - MP-RTIP 6 Flight Test Support,RTIP,W,HJX,,HJX,819H,201305,10.99,0.00,0.00,10.99,654.62,0.00,0.00,1888.83,0.00,0.00,1814.38,0006,,L
LRIP8P,R8RTPHJX-819H03,AV IPT - MP-RTIP 6 Flight Test Support,RTIP,W,HJX,,HJX,819H,201306,11.57,0.00,0.00,11.57,689.08,0.00,0.00,1988.26,0.00,0.00,1909.88,0006,,L
LRIP8P,R8R05HHX-9G0701,MP-RTIP 05 FT/Installation/Fuel Ops SPT,RTIP,W,HHX,,HHX,9G07,201301,159.40,0.00,0.00,159.40,8891.33,0.00,0.00,25655.04,0.00,0.00,24622.33,0006,,L
LRIP8P,R8R05HHX-9G0701,MP-RTIP 05 FT/Installation/Fuel Ops SPT,RTIP,W,HHX,,HHX,9G07,201302,255.10,0.00,0.00,255.10,14229.48,0.00,0.00,41057.71,0.00,0.00,39405.00,0006,,L
LRIP8P,R8R05HHX-9G0701,MP-RTIP 05 FT/Installation/Fuel Ops SPT,RTIP,W,HHX,,HHX,9G07,201303,255.10,0.00,0.00,255.10,14229.48,0.00,0.00,41057.71,0.00,0.00,39405.00,0006,,L
LRIP8P,R8R05HHX-9G0701,MP-RTIP 05 FT/Installation/Fuel Ops SPT,RTIP,W,HHX,,HHX,9G07,201304,111.60,0.00,0.00,111.60,6225.05,0.00,0.00,17961.74,0.00,0.00,17238.72,0006,,L
LRIP8P,R8R06HHX-9G0701,MP-RTIP 06 FT/Installation/Fuel Ops SPT,RTIP,W,HHX,,HHX,9G07,201303,265.90,0.00,0.00,265.90,14831.90,0.00,0.00,42795.95,0.00,0.00,41073.26,0006,,L
LRIP8P,R8R06HHX-9G0701,MP-RTIP 06 FT/Installation/Fuel Ops SPT,RTIP,W,HHX,,HHX,9G07,201304,332.40,0.00,0.00,332.40,18541.27,0.00,0.00,53498.96,0.00,0.00,51345.44,0006,,L
LRIP8P,R8R06HHX-9G0701,MP-RTIP 06 FT/Installation/Fuel Ops SPT,RTIP,W,HHX,,HHX,9G07,201305,182.80,0.00,0.00,182.80,10196.58,0.00,0.00,29421.21,0.00,0.00,28236.90,0006,,L
,,,,,,,,,,,,,,,,,,,,,,,
