PROJECT,WBS ID,DESCRIPTION,ALIAS,E,IPT,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,EOC,E
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201111,292.34,346.80,292.34,292.34,15684.26,15684.26,12342.54,42381.99,42381.99,32616.33,41136.60,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201112,307.73,414.70,307.73,307.73,16509.76,16509.76,14566.31,44612.63,44612.63,38492.86,43301.69,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201201,307.73,526.70,307.73,307.73,17645.28,17645.28,19198.19,47792.17,47792.17,53516.26,49719.04,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201202,307.73,163.60,307.73,307.73,17645.29,17645.29,6050.56,47792.17,47792.17,16866.35,49719.04,0004,LABOR,L
LT4,4220BZ-0819H,AV IPT Mission Plan Valid. OP1 Baseline,,W,HXX,LT44220BZ,HJX,0819H,201203,384.66,0.00,0.00,148.39,22056.61,0.00,0.00,59740.21,0.00,0.00,23400.57,0004,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201104,123.80,137.00,123.80,0.00,6641.87,6641.87,7837.77,17947.65,17947.65,20712.05,0.00,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201105,123.80,136.00,123.80,0.00,6641.87,6641.87,7780.56,17947.65,17947.65,20560.87,0.00,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201106,144.66,170.00,144.66,0.00,7760.96,7760.96,9598.52,20971.64,20971.64,25365.00,0.00,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201107,116.83,122.00,116.83,0.00,6267.93,6267.93,6980.00,16937.19,16937.19,18445.31,0.00,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201108,123.80,147.00,123.80,0.00,6641.87,6641.87,7541.52,17947.65,17947.65,19929.18,0.00,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201109,144.69,170.00,144.69,0.00,7762.62,7762.62,7982.22,20976.13,20976.13,21093.77,0.00,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201110,269.92,165.50,269.92,0.00,12800.58,12800.58,6797.10,33471.46,33471.46,17961.98,0.00,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201111,115.74,139.50,115.74,115.74,6209.21,6209.21,6805.02,16778.52,16778.52,17982.91,16285.49,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201112,121.83,138.50,121.83,121.83,6536.01,6536.01,7142.88,17661.60,17661.60,18875.74,17142.62,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201201,121.83,167.70,121.83,121.83,6985.56,6985.56,8225.68,18920.35,18920.35,22921.13,19683.17,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201202,121.83,143.40,121.83,121.83,6985.56,6985.56,6369.31,18920.34,18920.34,17742.12,19683.17,0005,LABOR,L
LT4,4220CZ-0819H,AV IPT Mission Plan Valid. OP1 OCO,,W,HXX,LT44220CZ,HJX,0819H,201203,152.28,0.00,0.00,44.41,8731.94,0.00,0.00,23650.43,0.00,0.00,7003.71,0005,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201104,123.80,0.00,123.80,0.00,6641.87,6641.87,0.00,17947.65,17947.65,0.00,0.00,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201105,123.80,8.00,123.80,0.00,6641.87,6641.87,457.68,17947.65,17947.65,1209.46,0.00,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201106,144.66,8.00,144.66,0.00,7760.96,7760.96,328.92,20971.64,20971.64,869.20,0.00,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201107,116.83,36.00,116.83,0.00,6267.93,6267.93,1689.00,16937.19,16937.19,4463.34,0.00,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201108,123.80,86.50,123.80,0.00,6641.87,6641.87,3646.11,17947.65,17947.65,9635.19,0.00,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201109,144.69,161.50,144.69,0.00,7762.62,7762.62,7385.86,20976.13,20976.13,19517.84,0.00,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201110,-446.58,31.00,-446.58,0.00,-26519.69,-26519.69,1689.85,-71972.85,-71972.85,4465.59,0.00,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201111,179.59,127.00,179.59,179.59,9634.82,9634.82,5872.97,26035.18,26035.18,15519.88,25270.14,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201112,189.04,76.90,189.04,189.04,10141.91,10141.91,3748.99,27405.46,27405.46,9907.06,26600.15,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201201,189.04,99.40,189.04,189.04,10839.47,10839.47,4726.87,29358.65,29358.65,13176.47,30542.32,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201202,189.04,498.30,189.04,278.68,10839.47,10839.47,20258.64,29358.64,29358.64,56472.33,44830.67,0006,LABOR,L
LT4,4220NZ-0819H,AV IPT Mission Plan Valid. OP1 BACN,,W,HXX,LT44220NZ,HJX,0819H,201203,236.30,0.00,0.00,181.41,13549.33,0.00,0.00,36698.30,0.00,0.00,28606.73,0006,LABOR,L
LT4,4522BZ-0819H,AV IPT Flt. Sys. SRA Support OP1,,W,HXX,LT44522BZ,HJX,0819H,201104,25.97,0.00,25.97,0.00,1393.29,1393.29,0.00,3764.95,3764.95,0.00,0.00,0016,LABOR,L
LT4,4522BZ-0819H,AV IPT Flt. Sys. SRA Support OP1,,W,HXX,LT44522BZ,HJX,0819H,201105,25.97,0.00,25.97,0.00,1393.29,1393.29,0.00,3764.95,3764.95,0.00,0.00,0016,LABOR,L
LT4,4522BZ-0819H,AV IPT Flt. Sys. SRA Support OP1,,W,HXX,LT44522BZ,HJX,0819H,201106,30.36,0.00,30.36,0.00,1628.81,1628.81,0.00,4401.38,4401.38,0.00,0.00,0016,LABOR,L
LT4,4522BZ-0819H,AV IPT Flt. Sys. SRA Support OP1,,W,HXX,LT44522BZ,HJX,0819H,201107,24.51,0.00,24.51,0.00,1314.96,1314.96,0.00,3553.29,3553.29,0.00,0.00,0016,LABOR,L
LT4,4522BZ-0819H,AV IPT Flt. Sys. SRA Support OP1,,W,HXX,LT44522BZ,HJX,0819H,201108,25.97,0.00,25.97,0.00,1393.29,1393.29,0.00,3764.95,3764.95,0.00,0.00,0016,LABOR,L
LT4,4522BZ-0819H,AV IPT Flt. Sys. SRA Support OP1,,W,HXX,LT44522BZ,HJX,0819H,201109,30.36,0.00,30.36,0.00,1628.81,1628.81,0.00,4401.38,4401.38,0.00,0.00,0016,LABOR,L
