PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201111,80.00,20.01,80.00,30.00,3590.40,3590.40,839.06,13870.24,13870.24,2976.72,4473.77,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201112,100.00,19.77,100.00,59.99,4488.00,4488.00,675.02,17337.80,17337.80,2394.75,8946.06,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201201,80.00,11.50,80.00,50.46,3954.40,3954.40,528.27,14725.36,14725.36,1932.61,9288.50,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201202,63.00,19.70,63.00,19.70,3114.09,3114.09,835.65,11596.22,11596.22,3057.13,3666.93,0010,,L
LRIP9B,R9CBRWKM,AV MFG Sust Rework-Common BL,,W,H00,LR9CBRWKM,H00,MFG,201203,0.00,21.30,0.00,52.76,0.00,0.00,695.85,0.00,0.00,2545.69,9384.45,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201103,195.00,265.00,195.00,195.00,10461.75,10461.75,13487.67,28523.63,28523.63,35642.45,28523.63,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201104,194.98,186.30,194.98,194.98,10460.68,10460.68,10621.46,28520.71,28520.71,28068.22,28266.82,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201105,144.32,196.20,144.32,196.20,7742.77,7742.77,10144.86,21110.41,21110.41,26808.76,28443.69,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201106,152.92,142.00,152.92,142.00,8204.16,8204.16,7462.23,22368.38,22368.38,19719.65,20229.45,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201107,178.72,54.50,178.72,54.50,9588.33,9588.33,3027.32,26142.28,26142.28,7999.98,7764.12,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201108,152.92,21.50,152.92,21.50,8204.16,8204.16,1175.85,22368.38,22368.38,3107.30,3062.67,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201109,144.32,138.00,144.32,138.00,7742.77,7742.77,7841.50,21110.41,21110.41,20721.91,19658.05,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201110,194.98,63.80,194.98,109.40,10460.68,10460.68,3803.53,28520.71,28520.71,10051.19,15393.99,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201111,144.32,52.00,144.32,120.00,7742.77,7742.77,3529.45,21110.41,21110.41,9326.91,16885.55,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201112,110.87,68.00,110.87,120.00,5948.18,5948.18,4346.42,16217.51,16217.51,11485.83,16885.55,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201201,178.73,124.00,178.73,186.00,10248.38,10248.38,7363.25,28876.81,28876.81,20525.56,30051.40,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201202,152.92,133.80,152.92,133.80,8768.43,8768.43,7902.58,24706.78,24706.78,22028.98,21740.86,0010,,L
LRIP9B,R9CB811H,Analysis & System Integ-Common BL,,W,HBX,LR9CB811H,HBX,811H,201203,0.00,12.70,0.00,118.80,0.00,0.00,826.23,0.00,0.00,2303.17,18733.89,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201103,252.80,273.61,252.80,252.80,11345.66,11345.66,12805.68,43829.95,43829.95,45430.43,42650.63,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201104,316.00,212.41,316.00,316.00,14182.08,14182.08,10295.02,54787.44,54787.44,36523.42,53313.29,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201105,240.20,231.27,240.20,224.60,10780.18,10780.18,11175.30,41645.39,41645.39,39646.37,37892.93,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201106,240.20,327.16,240.20,327.16,10780.18,10780.18,15261.11,41645.39,41645.39,54141.51,51830.89,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201107,303.40,254.58,303.40,303.40,13616.59,13616.59,11921.38,52602.88,52602.88,42293.22,48066.67,0010,,L
